2019-08-05 03:34:23 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_03_34_23_AM/report.html
2019-08-05 03:34:29 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:34:38 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:34:46 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:34:54 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:34:57 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:34:58 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 03:37:09 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_03_37_09_AM/report.html
2019-08-05 03:37:13 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:37:21 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:37:29 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:37:36 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:37:39 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:37:40 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 03:38:45 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_03_38_45_AM/report.html
2019-08-05 03:38:50 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:38:59 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:39:09 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:39:25 [main] ERROR BasePage:83 - Failed to click on :: Vehicle Contracts
2019-08-05 03:39:25 [main] ERROR BasePage:84 - org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of element located by By.xpath: //span[normalize-space()='Vehicle Contracts' and contains(@class, 'title title-level-2')] (tried for 8 second(s) with 500 milliseconds interval)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'johnzons-Air.fios-router.home', ip: 'fe80:0:0:0:c30:5a13:5e3e:c4e9%en0', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.14.5', java.version: '1.8.0_181'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 75.0.3770.142, chrome: {chromedriverVersion: 75.0.3770.8 (681f24ea911fe7..., userDataDir: /var/folders/zv/pykdrfjn2xb...}, goog:chromeOptions: {debuggerAddress: localhost:55427}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify}
Session ID: d34e3a5412f72423393533fd3abe6250
2019-08-05 03:40:17 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:40:25 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:40:35 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 03:40:41 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 03:41:13 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_03_41_13_AM/report.html
